id,category,status,dataset,file,range_start,range_stop,accum_parent,time_start,time_end,cpu_time,memory,fin,fout
1126,processing,1126,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/C6E08DC1-4848-7641-BD3F-9A43BFF2D243.root,480000,576000,done,1743698208.996079,1743698222.239882,7.277566,512.0,0,2.651553
839,processing,839,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/35576172-00C8-5D42-977A-D53B4847DD4A.root,733097,829825,done,1743698180.330805,1743698217.943413,4.000498,536.0,0,2.670643
1276,processing,1276,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/74C36AED-4CB9-1A4D-A9E6-90278C68131C.root,1181544,1280000,done,1743698203.586147,1743698219.121805,3.907118,542.0,0,2.718654
1273,processing,1273,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/74C36AED-4CB9-1A4D-A9E6-90278C68131C.root,886158,984620,done,1743698208.996719,1743698220.82529,6.902249,544.0,0,2.718682
1027,processing,1027,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/6C0AAC46-7607-1F4E-8F69-7632068C6F23.root,393848,492310,done,1743698203.595866,1743698222.514049,6.591123,522.0,0,2.718716
1275,processing,1275,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/74C36AED-4CB9-1A4D-A9E6-90278C68131C.root,1083082,1181544,done,1743698203.794722,1743698220.186199,6.917041,522.0,0,2.718833
1265,processing,1265,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/74C36AED-4CB9-1A4D-A9E6-90278C68131C.root,196924,295386,done,1743698208.988012,1743698220.772092,6.947593,541.0,0,2.7191
1253,processing,1253,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/F689F2EB-6A85-CE46-9AB0-BF87D586AFFD.root,295386,393848,done,1743698208.4901,1743698220.701709,4.518987,522.0,0,2.719363
647,processing,647,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/AF4437CF-30C8-884A-907F-C38B9FAE821E.root,492310,590772,done,1743698208.990856,1743698220.930165,5.672702,544.0,0,2.719477
1142,processing,1142,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/F4B3D0FC-D68D-5B46-BF21-1F895746C910.root,858026,963521,done,1743698208.890268,1743698221.327193,3.95837,560.0,0,2.910625
1140,processing,1140,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/F4B3D0FC-D68D-5B46-BF21-1F895746C910.root,647036,752531,done,1743698208.991848,1743698220.781796,4.219831,560.0,0,2.911423
1226,processing,1226,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/DB0C948B-3FED-384D-AF48-B4275AEA6EC2.root,746670,853337,done,1743698208.880521,1743698220.637522,4.706479,562.0,0,2.942947
1225,processing,1225,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/DB0C948B-3FED-384D-AF48-B4275AEA6EC2.root,640003,746670,done,1743698200.550752,1743698220.557028,7.936367,562.0,0,2.943626
1261,processing,1261,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/F689F2EB-6A85-CE46-9AB0-BF87D586AFFD.root,1058465,1169234,done,1743698208.893506,1743698220.158711,4.877641,551.0,0,3.054599
1262,processing,1262,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/F689F2EB-6A85-CE46-9AB0-BF87D586AFFD.root,1169234,1280000,done,1743698208.995911,1743698222.975396,7.463493,572.0,0,3.055095
1269,accumulating,done,,,0,1877424,1269,1743698208.448434,1743698212.262791,3.752529,250.0,51.85820999999999,51.401833
1009,processing,1009,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/D5B7B72B-A0CF-DE43-8678-821B4747A966.root,400000,450000,done,1743698208.886145,1743698219.398586,3.460284,423.0,0,1.392273
1212,processing,1212,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/C79BBB5A-2D85-2343-824D-5319B4672839.root,494771,587817,done,1743698217.733458,1743698225.256562,4.011025,525.0,0,2.570693
858,processing,858,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/3D9CF396-C486-E54D-8896-3614F421C0A6.root,288000,384000,done,1743698199.106227,1743698217.824371,4.559407,534.0,0,2.650448
1249,processing,1249,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/AC1E7C96-1E0D-F447-912B-50BD8D549516.root,864000,960000,done,1743698217.725819,1743698225.81216,4.193237,532.0,0,2.650938
1109,processing,1109,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/EFBBD9DF-1B6A-C54A-9CA5-704B819BB6A8.root,576000,672000,done,1743698217.727654,1743698225.575794,3.819861,534.0,0,2.651446
1239,processing,1239,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/AC1E7C96-1E0D-F447-912B-50BD8D549516.root,96000,192000,done,1743698217.725128,1743698225.151808,4.134672,532.0,0,2.651513
1240,processing,1240,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/AC1E7C96-1E0D-F447-912B-50BD8D549516.root,192000,288000,done,1743698217.729788,1743698225.382299,3.810522,533.0,0,2.651741
1110,processing,1110,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/EFBBD9DF-1B6A-C54A-9CA5-704B819BB6A8.root,672000,768000,done,1743698217.729091,1743698225.079403,3.742319,531.0,0,2.651972
1201,processing,1201,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/ED27C35F-833B-5B40-816A-E635ECFD455C.root,886158,984620,done,1743698217.728473,1743698226.055359,4.051909,542.0,0,2.718325
1255,processing,1255,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/F689F2EB-6A85-CE46-9AB0-BF87D586AFFD.root,492310,590772,done,1743698217.731485,1743698224.207647,3.922422,545.0,0,2.719143
995,processing,995,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/69AEE8E9-76E4-C54C-BE33-ED74471E6143.root,295386,393848,done,1743698199.115213,1743698223.045827,4.3148,542.0,0,2.719144
987,processing,987,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/FE36F1D8-BED8-A14D-BB5E-D3FFB842EFE8.root,400000,500000,done,1743698208.981211,1743698219.657387,3.824423,541.0,0,2.760871
989,processing,989,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/FE36F1D8-BED8-A14D-BB5E-D3FFB842EFE8.root,600000,700000,done,1743698208.988402,1743698223.135867,6.962346,520.0,0,2.760938
905,processing,905,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/E20B15CA-EE5D-9140-A72D-66A3E861F364.root,1073235,1176620,done,1743698180.332061,1743698222.705781,4.771596,554.0,0,2.85332
608,processing,608,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/E7185D42-E19B-4743-B5D2-2D2A008AB656.root,556310,659695,done,1743698199.109969,1743698224.803979,5.031299,554.0,0,2.853416
1165,processing,1165,TTTo2L2Nu_powheg,root://hactar01.crc.nd.edu//store/mc/RunIISummer20UL17NanoAODv9/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/NANOAODSIM/106X_mc2017_realistic_v9-v1/2510000/EDDF6235-96DD-0D4D-92CF-7137CE93A78E.root,547695,652311,done,1743698217.727484,1743698224.488199,3.992397,538.0,0,2.886641
