# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1743624003101425 20 0 0 20 20 20 0 0 0 0 0 0 248 20 20 1 572 324 304 0 0 0 76865026 13228723 0 10927972 2450384 826319 536870180 10699536 645333745 643646928 0 7869900785 814142 83.314312 134 268 2144000 13400000 122 179 0.487113 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624008130408 20 0 0 20 20 20 0 0 0 0 0 0 185 20 20 1 572 387 367 0 0 0 78401308 13537695 0 11184747 2485474 833439 539453234 11257857 741624309 740271045 0 7869916943 983311 81.644081 139 278 2224000 13900000 263 225 0.503916 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624013146524 20 0 0 20 20 20 0 0 0 0 0 0 119 20 20 1 572 453 433 0 0 0 79837814 13843748 0 11438557 2507126 840328 542113780 11842227 842469969 840911131 0 7869933875 1160388 80.127405 167 334 2672000 16700000 265 224 0.501053 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624018196348 20 0 0 20 20 20 0 0 0 0 0 0 52 20 20 1 572 520 500 0 0 0 81390811 14149129 0 11689288 2531319 846874 544669385 12447190 941210311 939409708 0 7869951070 1340035 78.570786 139 278 2224000 13900000 161 205 0.500131 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624023267852 20 0 6 14 20 20 0 0 0 0 0 0 0 14 14 1 572 572 558 0 0 0 82324584 14434770 0 11925467 2554232 852287 547915719 13024483 1037594621 1035711485 0 7869964415 1495861 77.582261 156 312 2496000 15600000 303 248 0.602233 40 320000 2000000 28 224000 1400000 2 16000 100000 0 0 0
1743624030689190 20 0 0 20 20 20 0 0 0 0 0 0 20 20 20 0 612 592 572 0 0 0 82429275 14511083 0 11990801 2563548 880580 554693374 13449788 1061784032 1061784032 0 7870066353 1533513 77.438776 168 336 2688000 16800000 536 510 0.385865 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624038664499 20 0 0 20 20 20 0 0 0 0 0 0 40 20 20 1 632 592 572 0 0 0 82490708 14511146 0 11990801 2563554 880646 562080578 13975842 1074888710 1061784032 0 7870066353 1533513 77.389682 168 336 2688000 16800000 536 536 0.450907 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624043990324 20 0 0 20 20 20 0 0 0 0 0 0 40 20 20 1 647 607 587 15 0 0 82812517 14652330 0 11990801 2569702 882007 566300948 14610874 1318279904 1061784032 0 7870071063 1598998 77.022740 453 906 7248000 45300000 3180 1686 0.502011 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624052418745 20 0 0 20 20 20 0 0 0 0 0 0 40 20 20 1 652 612 592 20 0 0 83019793 14760956 0 11990801 2591977 882611 574182086 14819227 1411701914 1061784032 0 7870072632 1620784 76.774129 512 1024 8192000 51200000 209 2082 0.508054 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624057598538 20 0 0 20 20 20 0 0 0 0 0 0 40 20 20 1 660 620 600 28 0 0 83232177 14795837 0 11990801 2595144 883357 578775525 15154548 1528021034 1061784032 0 7870075143 1655655 76.580838 685 1370 10960000 68500000 3594 2360 0.505533 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624063890832 20 0 0 20 20 20 0 0 0 0 0 0 40 20 20 1 671 631 611 39 0 0 83512594 14914060 0 11990801 2600105 884577 584203149 15614312 1702355541 1061784032 0 7870078597 1703604 76.271175 848 1696 13568000 84800000 3118 2243 0.506390 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624070192876 20 0 0 20 20 20 0 0 0 0 0 0 40 20 20 1 679 639 619 47 0 0 83721118 14946298 0 11990801 2603320 885295 589915072 15959814 1804807677 1061784032 0 7870081108 1738562 76.085425 920 1840 14720000 92000000 2539 2043 0.503840 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624076011742 20 0 0 20 20 20 0 0 0 0 0 0 40 20 20 1 690 650 630 58 0 0 84028041 15001339 0 11990801 2607525 886320 594901360 16425009 1923033146 1061784032 0 7870084562 1786480 75.807818 1293 2586 20688000 129300000 675 1993 0.506345 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624082188421 20 0 0 20 20 20 0 0 0 0 0 0 40 20 20 1 702 662 642 70 0 0 84336226 15081627 0 11990801 2623933 887374 600169295 16927871 2075109617 1061784032 0 7870088329 1838969 75.512141 1345 2690 21520000 134500000 2955 1708 0.505853 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624088487271 20 0 0 20 20 20 0 0 0 0 0 0 40 20 20 1 709 669 649 77 0 0 84552152 15107816 0 11990801 2626689 888013 605930899 17219415 2150163741 1061784032 0 7870090527 1869506 75.329004 1315 2630 21040000 131500000 1557 2219 0.506717 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624093814274 20 0 0 20 20 20 0 0 0 0 0 0 40 20 20 1 718 678 658 86 0 0 84825974 15161906 0 11990801 2630534 912044 610527603 17594028 2268593918 1061784032 0 7870093352 1908698 75.082362 1549 3098 24784000 154900000 3688 2507 0.505521 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743624098855635 20 0 0 20 20 20 0 0 0 0 0 0 40 20 20 1 730 690 670 98 0 0 85142911 15209892 0 11990801 2636150 913132 614684274 18106602 2407236796 1061784032 0 7870097120 1960981 74.809865 1776 3552 28416000 177600000 574 2299 0.507709 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1743625202375384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.000000 0 0 0 0 0 0 0 0 0 0 0 0
1743625225251067 1 0 0 1 1 1 0 0 0 0 0 0 571 1 0 0 572 0 0 0 0 0 4891 596 0 0 687 34190 18158298 1357011 0 0 0 393502551 0 1.000000 10 10 5120 10240 10 10 0.468898 2 16000 100000 0 0 0 2 16000 100000 0 0 0
1743625232240212 7 0 3 4 7 7 0 0 0 0 0 0 568 4 2 0 572 3 0 0 0 0 6993444 759 0 0 2039 34500 18158350 1357037 0 0 0 1574010204 0 214.619608 10 10 5120 10240 10 10 0.428684 14 112000 700000 6 48000 300000 2 16000 100000 0 0 0
1743625239590353 7 0 0 7 7 7 0 0 0 0 0 0 564 7 5 0 572 7 1 0 0 0 14302307 25603 0 21260 2409 35434 18158401 1369019 8050636 8050636 0 2754518113 2557 183.342554 10 10 5120 10240 10 10 0.376832 14 112000 700000 12 96000 600000 2 16000 100000 0 0 0
1743625246546009 14 0 0 14 14 14 0 0 0 0 0 0 551 14 13 0 572 20 7 0 0 0 19842560 58550 0 48666 6278 37870 19483801 1424249 35513854 35513854 0 5509037507 18400 263.997592 10 20 160000 1000000 5 20 0.475142 28 224000 1400000 26 208000 1300000 2 16000 100000 0 0 0
1743625251620452 16 0 0 16 16 16 0 0 0 0 0 0 516 16 16 1 572 56 40 0 0 0 24325054 210729 0 174275 17588 42172 22947303 1701885 153181854 151966155 0 6296051068 106416 244.723540 10 20 160000 1000000 202 156 0.501396 32 256000 1600000 32 256000 1600000 2 16000 100000 0 0 0
1743625256653744 20 0 0 20 20 20 0 0 0 0 0 0 464 20 20 1 572 108 88 0 0 0 26631624 421689 0 347194 33766 48527 25026747 2115526 263996391 254718266 0 7870073584 234870 277.441474 16 32 256000 1600000 103 152 0.503026 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743625261697911 20 0 0 20 20 20 0 0 0 0 0 0 401 20 20 1 572 171 151 0 0 0 27616735 730036 0 604457 53765 55525 28213283 2652616 361243640 359674630 0 7870089748 403918 264.788101 20 40 320000 2000000 161 206 0.501858 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743625266703064 20 0 1 19 20 20 0 0 0 0 0 0 330 19 19 1 572 242 223 0 0 0 28719241 1036979 0 854131 73585 90024 31123536 3283560 467245957 465788346 0 7870107960 597356 252.252790 72 144 1152000 7200000 249 187 0.528365 40 320000 2000000 38 304000 1900000 2 16000 100000 0 0 0
1743625271710166 20 0 0 20 20 20 0 0 0 0 0 0 248 20 19 0 572 323 304 0 0 0 29901362 1371130 0 1124256 95840 98755 33877156 3989132 576305574 576305574 0 7870128991 814750 240.029381 159 318 2544000 15900000 252 228 0.501511 40 320000 2000000 38 304000 1900000 2 16000 100000 0 0 0
1743625276716267 20 0 1 19 20 20 0 0 0 0 0 0 170 19 18 0 572 401 383 0 0 0 31089475 1696290 0 1387027 119188 106751 36649694 4678007 675599659 675599659 0 7870149001 1027013 228.957244 150 300 2400000 15000000 246 208 0.523868 40 320000 2000000 36 288000 1800000 2 16000 100000 0 0 0
1743625281730065 20 0 0 20 20 20 0 0 0 0 0 0 89 20 20 1 572 483 463 0 0 0 32307784 2144326 0 1770585 143511 114288 39224040 5419615 776281283 775244830 0 7870169779 1242013 217.889797 191 382 3056000 19100000 150 219 0.495591 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743625286765823 20 0 0 20 20 20 0 0 0 0 0 0 14 20 20 1 572 558 538 0 0 0 33441002 2454544 0 2022425 164571 120730 42114128 6094284 869944761 868916143 0 7870189023 1443551 209.133852 143 286 2288000 14300000 219 199 0.503391 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743625294306916 20 0 0 20 20 20 0 0 0 0 0 0 20 20 20 0 612 592 572 0 0 0 33700526 2594218 0 2136073 174283 123624 48559270 6778433 912116157 912116157 0 7870294553 1534847 206.838806 167 334 2672000 16700000 235 235 0.384663 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743625301132813 20 0 0 20 20 20 0 0 0 0 0 0 40 20 20 1 632 592 572 0 0 0 33759380 2594255 0 2136073 174288 123735 55201054 6903092 924032618 912116157 0 7870294553 1534847 206.503738 167 334 2672000 16700000 235 235 0.443570 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743625307518306 20 0 0 20 20 20 0 0 0 0 0 0 39 20 20 1 634 595 575 0 0 0 33859648 2672821 0 2211666 175623 124051 61332095 6977143 974825073 956526310 0 7870295495 3034169 205.532024 251 502 4016000 25100000 1444 399 0.492503 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743625312871749 20 0 0 20 20 20 0 0 0 0 0 0 38 30 30 1 653 615 585 0 0 0 34225056 2792601 0 2323284 178848 124963 65864310 7308977 1181579210 1157935566 0 7870301774 7994870 202.966092 623 1246 9968000 62300000 1991 1564 0.449476 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743625320979829 20 0 0 20 20 20 0 0 0 0 0 0 38 35 35 1 663 625 590 0 0 0 34469146 3044000 0 2570297 180745 125475 73310902 7472554 1301095190 1285428718 0 7870304914 10485888 200.348640 599 1198 9584000 59900000 1941 1343 0.468207 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743625326689171 20 0 0 20 20 20 0 0 0 0 0 0 39 38 38 1 672 633 595 0 0 0 34656248 4080388 0 3482087 182863 150619 77597738 7644312 1389807760 1371118412 0 7870307426 12982451 194.082188 301 590 4717715 29485715 937 943 0.480341 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743625332120588 20 0 0 20 20 20 0 0 0 0 0 0 39 38 38 1 681 642 604 0 0 0 34947740 4170212 0 3564602 186025 151690 82406619 7881269 1570199644 1548279292 0 7870310250 17491231 192.300294 391 695 5553796 34711225 1868 1504 0.504147 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743625337264785 20 0 0 20 20 20 0 0 0 0 0 0 39 39 39 1 690 651 612 0 0 0 35211007 5045476 0 4432744 188710 152450 86163317 8126834 1776699707 1761385484 0 7870313075 21479081 186.956210 343 560 4480000 28000000 406 1634 0.501991 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743625342269347 20 0 0 20 20 20 0 0 0 0 0 0 36 39 39 0 702 667 628 0 0 0 35504077 6529658 0 5866111 196866 153755 88947130 8497289 2141955464 2141955464 0 7870318099 29459252 179.232580 139 185 1475103 9219388 2058 904 0.500363 40 320000 2000000 39 312000 1950000 2 16000 100000 0 0 0
1743625348558703 20 0 0 20 20 20 0 0 0 0 0 0 39 40 40 1 713 674 634 0 0 0 35831879 6671775 0 6003246 199948 154387 94552428 8771252 2308505378 2287697312 0 7870320296 32428299 177.317658 141 170 1358205 8488776 1082 1443 0.505561 40 320000 2000000 40 320000 2000000 2 16000 100000 0 0 0
1743625355932230 34 0 4 30 34 34 0 0 0 0 0 0 52 58 56 0 750 697 640 0 0 0 39313398 6734278 0 6060750 205375 155542 94577691 9172650 2415322208 2415322208 0 11815228531 35409121 245.433641 137 149 1185470 7409184 102 520 0.394993 68 544000 3400000 57 456000 2850000 2 16000 100000 0 0 0
1743625361273441 40 0 5 35 40 40 0 0 0 0 0 0 76 67 65 0 789 712 646 0 0 0 44241070 6838687 0 6159991 208436 156333 94578084 9561978 2531527876 2531527876 0 13792652751 38373145 258.229384 99 104 824327 5152041 269 382 0.397787 80 640000 4000000 68 544000 3400000 2 16000 100000 0 0 0
1743625369566562 40 0 0 40 40 40 0 0 0 0 0 0 69 77 74 0 804 734 658 0 0 0 51905990 7096371 0 6308402 212220 157524 94578582 9919367 2811053844 2811053844 0 15760193919 44260785 255.452532 37 38 302041 1887756 44 80 0.253233 80 640000 4000000 78 624000 3900000 2 16000 100000 0 0 0
